"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H4","840","United States","621230","621230 --  - Corselettes","410","Korea, Rep.",2012,2012,"CMT","AHS",23.5,23.5,0,23.5,23.5,1,1,1,100.224,
"HS","H4","840","United States","621320","621320 --  - Of cotton","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,19.026,
"HS","H4","840","United States","621420","621420 --  - Of wool or fine animal hair","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,12.953,
"HS","H4","840","United States","621490","621490 --  - Of other textile materials","410","Korea, Rep.",2012,2012,"CMT","AHS",11.3,11.3,0,11.3,11.3,1,0,0,121.2,
"HS","H4","840","United States","621520","621520 --  - Of man-made fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,38.123,
"HS","H4","840","United States","621710","621710 --  - Accessories","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,3,0,0,560.837,
"HS","H4","840","United States","630120","630120 --  - Blankets (other than electric blanket","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,38.708,
"HS","H4","840","United States","630190","630190 --  - Other blankets and travelling rugs","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,0.975,
"HS","H4","840","United States","630222","630222 --  -- Of man-made fibres","410","Korea, Rep.",2012,2012,"CMT","AHS",13.15,13.15,1.75,11.4,14.9,2,0,0,29.992,
"HS","H4","840","United States","630232","630232 --  -- Of man-made fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,548.144,
"HS","H4","840","United States","630253","630253 --  -- Of man-made fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,6.177,
